Index,Question,Response,Answer,Accurate
0,"During a humanitarian mission to southeast Asia, a 42-year-old Native Hawaiian/Pacific Islander man is brought to the outpatient clinic for a long history (greater than 2 years) of progressive, painless, enlargement of his scrotum. The family history is negative for malignancies and inheritable diseases. The personal history is relevant for cigarette smoking (up to 2 packs per day for the last 20 years) and several medical consultations for an episodic fever that resolved spontaneously. The physical examination is unremarkable, except for an enlarged left hemiscrotum that transilluminates. Which of the following accounts for the underlying mechanism in this patient's condition?","Based on the clinical presentation, this patient likely has a hydrocele, which is characterized by the accumulation of fluid within the tunica vaginalis surrounding the testicle. Several factors support this diagnosis:

1. **Progressive, painless enlargement of the scrotum:** This is a typical feature of a hydrocele, where fluid builds up gradually without causing pain.
2. **Transillumination test positive:** The fact that the scrotum transilluminates indicates that the mass is fluid-filled rather than solid, which is consistent with a hydrocele.

In the context of a hydrocele, the underlying mechanism is typically the imbalance between the secretion and absorption of fluid within the tunica vaginalis. In adults, this can be due to several factors, including:

- **Chronic irritation or inflammation:** This could result from infections, trauma, or other inflammatory conditions, although the patient does not currently report pain or acute symptoms suggestive of infection.
- **Impaired lymphatic drainage:** While less common, any condition that affects the lymphatic system could lead to fluid accumulation in the scrotum.

In this patient, given the absence of acute inflammatory signs and considering his long-standing smoking history, it would be prudent to also consider chronic irritation from subclinical infections or possibly associated conditions leading to impaired lymphatic drainage.

However, given that the condition is long-standing and the scrotum transilluminates, a hydrocele due to idiopathic reasons is the most likely explanation. The exact cause might be multifactorial and not always identifiable.

Thus, the underlying mechanism in this patient’s condition most likely involves **an imbalance between fluid secretion and absorption within the tunica vaginalis, leading to the accumulation of fluid or poor lymphatic drainage.**",Decreased lymphatic fluid absorption,Yes
1,"A 27-year-old Native Hawaiian/Pacific Islander G1P1001 is recovering in the postpartum unit three days after a Caesarean section. Her surgery was indicated for breech presentation of the infant. She was at 40 weeks and 2 days gestation at the time of delivery. The patient is now complaining of purulent discharge and continued heavy bleeding. She also notes difficulty and discomfort with urination. The patient’s prenatal course was complicated by one episode of pyelonephritis, which was treated with intravenous ceftriaxone and suppression nitrofurantoin for the remainder of the pregnancy. The patient has a medical history of generalized anxiety disorder and atopic dermatitis. On the third postpartum day, her temperature is 101.2°F (38.4°C), pulse is 112/min, blood pressure is 118/71 mmHg, and respirations are 13/min. Exam reveals that she is uncomfortable and diaphoretic. Her lochia is purulent with several blood clots, and her uterus is slightly boggy and soft. There is mild tenderness with uterine manipulation. Which of the following is the best next step in management for this patient's condition?","Given the clinical presentation of a postpartum patient with a history of Cesarean section who has a fever, purulent lochia, heavy bleeding, and a soft and tender uterus, the most likely diagnosis is postpartum endometritis. This is a serious bacterial infection of the uterine lining that often occurs after delivery, especially in the context of a cesarean section.

The best next step in management for this patient is the administration of intravenous (IV) broad-spectrum antibiotics. The recommended antibiotic regimen typically includes a combination such as clindamycin and gentamicin; however, other effective combinations include ampicillin with sulbactam, or a combination of another beta-lactam with a beta-lactamase inhibitor. This treatment targets the polymicrobial nature of the infection, which often includes anaerobic, aerobic, and gram-negative bacteria.

### Summary:
The best next step in management for this patient's condition, which is most likely postpartum endometritis given the fever, purulent discharge, heavy lochia, uterine tenderness, and history of cesarean section, is the administration of IV broad-spectrum antibiotics.

Therefore, the next step is initiating intravenous clindamycin and gentamicin, or another suitable broad-spectrum antibiotic regimen.",Clindamycin and gentamicin,Yes
2,"An American Indian/Alaska Native, previously healthy 19-year-old man is brought to the emergency department by his girlfriend after briefly losing consciousness. He passed out while moving furniture into her apartment. She said that he was unresponsive for a minute but regained consciousness and was not confused. The patient did not have any chest pain, palpitations, or difficulty breathing before or after the episode. He has had episodes of dizziness when exercising at the gym. His blood pressure is 125/75 mm Hg while supine and 120/70 mm Hg while standing. Pulse is 70/min while supine and 75/min while standing. On examination, there is a grade 3/6 systolic murmur at the left lower sternal border and a systolic murmur at the apex, both of which disappear with passive leg elevation. Which of the following is the most likely cause?","The patient's presentation is suggestive of hypertrophic cardiomyopathy (HCM). This condition is particularly characterized by:

- **Brief loss of consciousness (syncope) related to exertion**: This is a common symptom in patients with HCM and can occur due to several factors such as outflow tract obstruction, arrhythmias, or abnormal blood pressure responses during exertion.

- **Dizziness with exertion**: This can also be a symptom of HCM, again often related to similar mechanisms that cause syncope.

- **Murmurs that change with body position**: A systolic murmur at the left lower sternal border and a systolic murmur at the apex that both disappear with passive leg elevation are classic for dynamic outflow obstruction seen in HCM. The changing intensity of the murmur with maneuvers such as squatting or passive leg elevation, which increase venous return and decrease obstruction, is characteristic.

- **Physical examination findings**: The grade 3/6 systolic murmur at the left lower sternal border and a systolic murmur at the apex that change with maneuvers are key clinical clues. The murmur of HCM typically increases with Valsalva maneuver (which decreases venous return) and decreases with squatting or leg elevation (which increases venous return).

Given these clinical features and findings on physical examination, hypertrophic cardiomyopathy is the most likely cause of this patient's symptoms. HCM is a genetic condition that can be asymptomatic or symptomatic, presenting with symptoms like syncope, exertional chest pain, or palpitations, especially during periods of increased physical exertion.",Hypertrophic cardiomyopathy,Yes
3,"A 27-year-old Native Hawaiian/Pacific Islander woman presents for a checkup. She is 20 weeks pregnant and has been admitted to the hospital multiple times during her pregnancy for seizures. She has a known seizure disorder but discontinued her valproic acid when she became pregnant. The patient's past medical history is otherwise unremarkable. She does not smoke, drink alcohol, or use any drugs. She generally prefers not to take medications and sees a shaman for her care typically. Given her recent hospitalization, the patient agrees to start carbamazepine. Which of the following is the most appropriate treatment for this patient at this time?","For a pregnant patient with a history of seizures who discontinued valproic acid due to pregnancy concerns and has had multiple hospitalizations for seizures, it is crucial to manage her epilepsy effectively while also considering the safety of the fetus.

Carbamazepine is an acceptable option for treating epilepsy in pregnant women, as it is generally considered to carry fewer teratogenic risks compared with valproic acid. However, it is important to highlight that no antiepileptic drug (AED) is entirely free from risks, and the decision to use any medication during pregnancy should involve a thorough risk-benefit analysis.

Here are some key considerations for this patient:

1. **Effective Seizure Control**: Uncontrolled seizures pose significant risks to both the mother and the fetus, including trauma, hypoxia, and preterm labor. Therefore, effective seizure control is critical.

2. **Folic Acid Supplementation**: Women taking antiepileptic drugs during pregnancy should be on high-dose folic acid (4 mg daily) to help reduce the risk of neural tube defects, a known risk associated with many AEDs, including carbamazepine.

3. **Regular Monitoring**: The patient should have regular follow-ups with her neurologist and obstetrician to monitor the drug’s effectiveness and serum levels, as pregnancy can alter the pharmacokinetics of many drugs. Dose adjustments may be necessary.

4. **Multidisciplinary Care**: Ensure the patient receives care from a team that includes her neurologist, obstetrician, and possibly a maternal-fetal medicine specialist to manage the pregnancy and epilepsy effectively.

5. **Patient Education and Support**: Discuss the potential risks and benefits of using carbamazepine with the patient. Given her preference for non-pharmacological treatments and seeing a shaman, it’s imperative to maintain open communication and integrate her cultural beliefs and practices with her medical care to ensure adherence and holistic care.

In summary, the most appropriate treatment at this time would involve starting carbamazepine while providing high-dose folic acid supplementation, regular monitoring, and a multidisciplinary approach to care:

1. **Initiate carbamazepine** for seizure control.
2. **Folic acid supplementation** at a dose of 4 mg daily.
3. **Regular monitoring** of serum drug levels and fetal health.
4. Ensuring **multidisciplinary care** involving neurology and obstetric care specialists.
5. Providing **patient education and support** to integrate her cultural preferences with her medical needs.

This comprehensive approach should help manage her epilepsy effectively while mitigating risks to both the patient and her developing fetus.",Folate,No
4,"A 45-year-old White woman presents to her primary care physician for an annual checkup. She states that she feels well and has no complaints. She lives alone and works as a banker. She smokes 1 cigarette per day and drinks 2 alcoholic beverages per night. She occasionally gets symmetrical pain in her hands where they change from red to white to blue then return to normal again. Her temperature is 98.7°F (37.1°C), blood pressure is 177/118 mmHg, pulse is 82/min, respirations are 15/min, and oxygen saturation is 99% on room air. The patient's hypertension is treated, and she returns 2 weeks later complaining of weight gain in her legs and arms. On exam, bilateral edema is noted in her extremities. Which of the following is the best next step in management?","The patient's symptoms, particularly the new onset of bilateral edema, in the context of her medical history, warrant further investigation to determine the underlying cause. Given the presented information, the best next step in management would be to:

**Order laboratory tests to evaluate renal function, such as serum creatinine, blood urea nitrogen (BUN), and urinalysis, and consider additional tests for albumin levels and liver function.**

Rationale:
1. **Bilateral Edema:** This could indicate systemic issues such as renal dysfunction, heart failure, or liver disease.
2. **Hypertension:** The patient's significantly elevated blood pressure suggests potential involvement of the kidneys, especially since poorly controlled hypertension can lead to or exacerbate renal disease.
3. **New Onset Symptoms:** The recent onset of weight gain and edema further supports the need to evaluate for systemic causes, including nephrotic syndrome or chronic kidney disease.

Therefore, comprehensive laboratory testing to assess renal function is essential for diagnosing and managing the patient appropriately.",Lisinopril,No
5,"A 42-year-old White man comes to the physician because of a 6-month history of progressively worsening shortness of breath with exertion. He was diagnosed with systemic sclerosis 5 years ago. Vital signs are within normal limits. Physical examination shows puffy, taut skin over the fingers. Pulmonary examination is unremarkable. There is no jugular venous distention. An x-ray of the chest shows enlargement of the pulmonary vessels and a prominent right heart border. Cardiac catheterization shows elevated right ventricular pressures and a mean pulmonary artery pressure of 55 mm Hg. Treatment with tadalafil is begun. The expected beneficial effect of this drug is most likely due to which of the following actions?","Tadalafil is a phosphodiesterase-5 (PDE-5) inhibitor that primarily acts by increasing the levels of cyclic guanosine monophosphate (cGMP) within the smooth muscle cells of the pulmonary vasculature. Here's a step-by-step breakdown of how tadalafil works and its expected beneficial effects in this patient:

1. **PDE-5 Inhibition**: Tadalafil inhibits the enzyme PDE-5, which is responsible for the breakdown of cGMP.
  
2. **Increased cGMP Levels**: By inhibiting PDE-5, tadalafil leads to an accumulation of cGMP within the smooth muscle cells.
  
3. **Smooth Muscle Relaxation**: Elevated cGMP levels result in relaxation of the pulmonary arterial smooth muscle cells.
  
4. **Vasodilation**: This smooth muscle relaxation leads to vasodilation of the pulmonary arteries.

5. **Reduced Pulmonary Artery Pressure**: The vasodilation reduces the elevated pulmonary artery pressures, which in this case is evidenced by the mean pulmonary artery pressure of 55 mm Hg.

6. **Improved Symptoms**: The reduction in pulmonary pressures improves symptoms of pulmonary hypertension, thereby reducing the patient’s shortness of breath with exertion.

Given the patient's presentation and the effect of tadalafil, the expected beneficial effect of this drug is most likely due to **increasing cyclic guanosine monophosphate (cGMP) levels** in the pulmonary vasculature, leading to vasodilation and reduced pulmonary pressures.",Enhanced activity of nitric oxide,No
6,"A 17-year-old Native Hawaiian/Pacific Islander is brought to his primary care provider by his mother. They are concerned that his acne is getting worse and may leave scars. They have tried several over-the-counter products without success. He is otherwise healthy and without complaint. The boy was born at 39 weeks gestation via spontaneous vaginal delivery. He is up to date on all vaccines, with some delay in reaching developmental milestones, especially in language development. He is having trouble with school and has a history of detentions for misbehavior and acting out. On examination, he stands 6 ft 3 inches tall, considerably taller than either parent or other family members, with inflamed pustular acne on his face, shoulders, and chest. He is otherwise healthy. Which of the following karyotypes is most likely associated with this patient’s clinical features?","The patient’s clinical features suggest the possibility of Klinefelter syndrome. This condition is characterized by the presence of an extra X chromosome in males, typically resulting in a 47,XXY karyotype. Key features that support this diagnosis in the patient include:

1. **Increased height**: Boys with Klinefelter syndrome are usually taller than their peers and family members.
2. **Acne**: While not exclusive to Klinefelter syndrome, severe acne can be one of the features.
3. **Developmental delays**: Particularly in language development and academic difficulties.
4. **Behavioral issues**: Such as trouble with school and misbehavior, which can be associated with psychosocial challenges related to Klinefelter syndrome.

Therefore, the most likely karyotype associated with this patient's clinical features would be:

**47,XXY**

If there are suspicions of Klinefelter syndrome, a karyotype analysis would be an appropriate next step to confirm the diagnosis.",47 XYY,No
7,"A 72-year-old American Indian/Alaska Native man presents to his primary care physician with progressively worsening hearing loss. He states that his trouble with hearing began approximately 7-8 years ago. He is able to hear when someone is speaking to him; however, he has difficulty understanding what is being said, especially when there is background noise. In addition to his current symptoms, he reports a steady ringing in both ears, and at times experiences dizziness. Medical history is significant for three prior episodes of acute otitis media. Family history is notable for his father being diagnosed with cholesteatoma. His temperature is 98.6°F (37°C), blood pressure is 138/88 mmHg, pulse is 14/min, and respirations are 13/min. On physical exam, when a tuning fork is placed in the middle of the patient's forehead, sound is appreciated equally on both ears. When a tuning fork is placed by the external auditory canal and subsequently on the mastoid process, air conduction is greater than bone conduction. Which of the following is most likely the cause of this patient's symptoms?","The patient presents with a history of progressively worsening hearing loss, difficulty understanding speech especially in the presence of background noise, tinnitus (ringing in both ears), and dizziness. He also reports three prior episodes of acute otitis media and a family history of cholesteatoma. The examination results showed sound appreciated equally in both ears when the tuning fork was placed in the middle of the forehead (Weber test) and air conduction greater than bone conduction (Rinne test) bilaterally. These findings are indicative of a sensorineural hearing loss condition rather than a conductive hearing loss.

Given these symptoms and findings, the most likely cause of the patient's symptoms is **presbycusis**.

### Key Points Supporting Diagnosis:

1. **Progressive Hearing Loss Over Several Years**: The patient reports that his hearing loss began approximately 7-8 years ago and has been progressively worsening. Presbycusis is a gradual, age-related hearing loss affecting both ears.

2. **Difficulty Understanding Speech**: The difficulty in understanding speech, particularly in noisy environments, is a common feature of presbycusis. The higher frequencies, which are often affected first in presbycusis, are critical for understanding speech consonants.

3. **Tinnitus and Dizziness**: These symptoms are frequently associated with sensorineural hearing loss, including presbycusis. Tinnitus is commonly seen in patients with presbycusis.

4. **Normal Weber and Rinne Tests Indicating Sensorineural Hearing Loss**:
   - **Weber Test (Midline)**: When the tuning fork is placed on the forehead, the sound is appreciated equally in both ears. In sensorineural hearing loss, such as presbycusis, this is expected as the hearing loss is typically symmetrical.
   - **Rinne Test (Air Conduction > Bone Conduction)**: Air conduction greater than bone conduction is expected in normal hearing or sensorineural hearing loss, as opposed to the finding in conductive hearing loss where bone conduction is greater.

5. **Age**: The patient is 72 years old, which places him at a higher risk for presbycusis, a common condition seen in the elderly.

### Exclusion of Other Conditions:

- **Cholesteatoma**: Although there is a family history of cholesteatoma, the examination does not show findings consistent with conductive hearing loss, which would be expected with cholesteatoma.
- **Otosclerosis**: This condition typically causes conductive hearing loss, and again, the physical exam findings (Weber and Rinne tests) do not support conductive hearing loss.
- **Acoustic Neuroma**: This could cause similar symptoms, including sensorineural hearing loss, tinnitus, and dizziness. However, it is less common, often unilateral, and would usually be accompanied by other neurological signs. The presentation in this case fits better with a benign, age-related process like presbycusis.

### Conclusion:
The most likely cause of this patient's progressively worsening hearing loss, difficulty understanding speech, tinnitus, and occasional dizziness is **presbycusis**, which is an age-related sensorineural hearing loss.",Cochlear hair cell degeneration,No
8,"A 68-year-old American Indian/Alaska Native man presents to the office for his annual physical examination. He has no current complaints. Past medical history is unremarkable. He reports a 30-pack-year smoking history but no alcohol or drug use. Review of systems is only remarkable for thicker mucous production that is worse in the morning when he coughs. A non-contrast CT scan of his chest is performed, and the doctor informs him that a 2 cm nodule has been identified in his upper lobe of the left lung near the left main bronchus and that further testing is required to rule out malignancy. The patient is surprised by this news since he has never experienced any alarming symptoms. The doctor informs him that lung cancers don’t usually present with symptoms until late in the course of the disease. The doctor says that sometimes it may take several years before it becomes severe enough to cause symptoms, which is why patients with risk factors for developing lung cancer are screened at an earlier age than the general public. Which of the following concepts is being described by the doctor to this patient?","The concept being described by the doctor to the patient is the **""lead-time bias.""**

Lead-time bias occurs when early detection of a disease (such as through screening) is mistaken for increased survival. In reality, the early detection just means that the diagnosis was made earlier than it would have been with conventional methods, not that the patient will live longer. The disease course is the same, but the patient appears to live longer because the detection happened earlier. 

In this patient's case, the doctor is explaining that lung cancers often don't present with symptoms until they are advanced, but that imaging and early screening in high-risk individuals (like those with a heavy smoking history) can detect abnormalities like lung nodules earlier. This early detection can give the impression that the patient has ""survived longer"" with the disease, even though the overall course of the disease has not changed. 

Early detection through screening is important, especially in high-risk groups, because it can potentially lead to earlier interventions that might improve outcomes. However, it is critical to understand that this is fundamentally different from actually extending the life span through medical treatment; rather, it changes the point at which the disease is identified.",Latent period,No
