Index,Question,Response,Answer,Accurate
9,"A 24-year-old American Indian/Alaska Native woman comes to the clinic complaining of headache and sinus drainage for the past 13 days. She reports cold-like symptoms 2 weeks ago that progressively got worse. The patient endorses subjective fever, congestion, sinus headache, cough, and chills. She claims that this is her 5th episode within the past year and is concerned if “there’s something else going on.” Her medical history is significant for asthma that is adequately controlled with her albuterol inhaler. Her laboratory findings are shown below:

Serum:
Hemoglobin: 16.2 g/dL
Hematocrit: 39 %
Leukocyte count: 7,890/mm^3 with normal differential
Platelet count: 200,000/mm^3
IgA: 54 mg/dL (Normal: 76-390 mg/dL)
IgE: 0 IU/mL (Normal: 0-380 IU/mL)
IgG: 470 mg/dL (Normal: 650-1500 mg/dL)
IgM: 29 mg/dL (Normal: 40-345 mg/dL)

What is the most likely diagnosis?","The most likely diagnosis in this case is **Common Variable Immunodeficiency (CVID)**.

CVID is an immune disorder characterized by low levels of serum immunoglobulins (IgA, IgG, and often IgM), which leads to an increased susceptibility to infections. Patients with CVID often have recurrent respiratory infections, including sinusitis, bronchitis, and pneumonia, which seem to fit the recurrent nature of this patient's sinus infections. Let's analyze the data supporting this diagnosis:

1. **Recurrent Infections**: The patient reports 5 episodes of similar symptoms within the past year, which is indicative of recurrent infections.
2. **Low Immunoglobulins**:
   - IgA: 54 mg/dL (Normal: 76-390 mg/dL) - Low
   - IgG: 470 mg/dL (Normal: 650-1500 mg/dL) - Low
   - IgM: 29 mg/dL (Normal: 40-345 mg/dL) - Low

These lab findings of hypogammaglobulinemia are hallmark features of CVID.

3. **Symptoms**: The patient's symptoms align with those typically seen in CVID, including chronic sinus infections, cough, and subjective fever.

Given her normal leukocyte count and absence of other systemic symptoms such as weight loss or night sweats that might suggest other immunodeficiencies or malignancies, CVID remains the most likely diagnosis. 

Management of CVID often involves regular immunoglobulin replacement therapy to help reduce the frequency and severity of infections and monitoring for potential complications. Follow-up with an immunologist for a full immunological workup and confirmation of diagnosis is warranted.",Common variable immunodeficiency,Yes
10,"A 33-year-old White woman comes to the physician because of a 4-month history of intermittent lower abdominal cramps associated with diarrhea, bloating, and mild nausea. During this period, she has had a 5-kg (11-lb) weight loss. She feels like she cannot fully empty her bowels. She has no history of serious illness. She has a high-fiber diet. Her father is of Ashkenazi Jewish descent. She appears well. Her temperature is 36.9°C (98.5°F), pulse is 90/min, and blood pressure is 130/90 mm Hg. The lungs are clear to auscultation. Cardiac examination shows no murmurs, rubs, or gallops. Abdominal examination shows mild tenderness to palpation in the right lower quadrant without guarding or rebound. Bowel sounds are normal. Test of the stool for occult blood is negative. Her hemoglobin concentration is 10.5 g/dL, leukocyte count is 12,000 mm3, platelet count is 480,000 mm3, and erythrocyte sedimentation rate is 129 mm/h. A barium enema shows ulceration and narrowing of the right colon. Which of the following is the most likely diagnosis?","The patient's symptoms and findings are suggestive of Crohn's disease. Crohn's disease is a type of inflammatory bowel disease (IBD) that can affect any part of the gastrointestinal tract from the mouth to the anus, but it most commonly affects the end of the small intestine (the ileum) and the beginning of the colon. Here are the key points suggesting Crohn's disease in this patient:

1. **Symptoms**: The patient has a 4-month history of lower abdominal cramps, diarrhea, bloating, mild nausea, and a feeling of incomplete bowel evacuation. These are typical symptoms of IBD and particularly of Crohn's disease.

2. **Weight Loss**: A 5-kg (11-lb) weight loss over 4 months is significant and often seen in patients with Crohn's disease due to malabsorption and decreased oral intake.

3. **Family History**: The patient's father is of Ashkenazi Jewish descent, a population with a higher prevalence of Crohn's disease.

4. **Physical Examination**: The patient has mild tenderness in the right lower quadrant, which can be indicative of inflammation in the terminal ileum, a common site for Crohn's disease involvement.

5. **Laboratory Findings**: 
    - Anemia (hemoglobin 10.5 g/dL) which might result from chronic disease or malabsorption.
    - Leukocytosis (white blood cell count 12,000/mm³) suggesting an inflammatory process.
    - Elevated platelet count (thrombocytosis) which is often seen in chronic inflammation.
    - Elevated erythrocyte sedimentation rate (ESR 129 mm/h) indicating significant inflammation.

6. **Imaging**: The barium enema shows ulceration and narrowing of the right colon, which are characteristic findings in Crohn's disease. Ulcers and strictures (narrowing) are common due to transmural (full-thickness) inflammation caused by Crohn's.

Considering these points, the most likely diagnosis for this patient is Crohn's disease.",Crohn disease,Yes
11,"Three days after being admitted to the hospital because of a fall from the roof of a two-story building, a 27-year-old Asian man is being monitored in the intensive care unit. On arrival, the patient was somnolent and not oriented to person, place, or time. A CT scan of the head showed an epidural hemorrhage that was 45 cm3 in size and a midline shift of 7 mm. Emergency surgery was performed with craniotomy and hematoma evacuation on the day of admission. Perioperatively, a bleeding vessel was identified and ligated. Postoperatively, the patient was transferred to the intensive care unit and placed on a ventilator. His temperature is 37°C (98.6°F), pulse is 67/min, and blood pressure is 117/78 mm Hg. The ventilator is set at a FiO2 of 55%, tidal volume of 520 mL, and positive end-expiratory pressure of 5.0 cm H2O. In addition to intravenous administration of fluids, which of the following is the most appropriate next step in managing this patient's nutrition?","Given the clinical scenario where the patient is in the intensive care unit (ICU) following emergency surgery for an epidural hemorrhage and is currently on a ventilator, it is critical to initiate appropriate nutritional support to aid in his recovery and to provide essential nutrients required for healing and maintaining bodily functions.

The most appropriate next step in managing this patient’s nutrition is to **initiate enteral feeding** as soon as feasible, ideally within the first 24-48 hours of ICU admission if there are no contraindications. Enteral feeding is preferred over parenteral feeding because it helps maintain gut integrity, reduces the risk of infection, and is generally associated with better outcomes.

### Rationale for Enteral Feeding:
1. **Maintains Gut Integrity:** Enteral nutrition stimulates the gut, which helps maintain the mucosal barrier and reduces the risk of bacterial translocation and subsequent infections.
2. **Reduces Complications:** Enteral feeding is associated with fewer complications compared to parenteral nutrition, such as infections and metabolic disturbances.
3. **Promotes Recovery:** Early nutritional support can positively influence recovery and overall outcomes by providing necessary nutrients for wound healing, immune function, and overall metabolic needs.

### Steps to Implement Enteral Feeding:
1. **Assessment:** Ensure there are no contraindications to enteral feeding such as bowel obstruction or ischemia. The patient should be hemodynamically stable and able to tolerate enteral nutrition.
2. **Initiate:** Start with a nasogastric or orogastric tube for enteral feeding. The initial feed can be started at a low rate (e.g., 10-25 mL/hour) and gradually increased as tolerated. Monitoring for tolerance and potential complications such as aspiration is important.
3. **Monitoring and Adjustment:** Evaluate the patient's tolerance to enteral feeding by monitoring gastric residual volumes, abdominal distension, and bowel function. Adjust the feeding regimen based on these assessments.

### Summary:
In summary, the most appropriate next step for managing this patient's nutrition is to **initiate enteral feeding** as early as possible, preferably within the first 24-48 hours after ICU admission, assuming there are no contraindications. This approach will support the patient's nutritional needs, promote gut integrity, and potentially improve overall clinical outcomes.",Enteral feeding via nasogastric tube,Yes
12,"A 5-year-old Asian boy with developmental delays presents to his pediatrician’s office with an ‘itchy rash’ on the flexor surfaces of his knees, elbows, and around his eyelids. The patient’s mother notes that the rashes have had a relapsing-remitting course since the child was an infant. Vital signs are within normal limits. Physical examination shows hypopigmentation of the patient’s skin and hair, as well as a musty odor in his sweat and urine. Based on the patient’s symptoms and history, which of the following is the most appropriate dietary recommendation?","Based on the patient’s symptoms and history, the most appropriate dietary recommendation would be a low-phenylalanine diet. The presentation of developmental delays, a ‘musty odor’ in the sweat and urine, and hypopigmentation of the skin and hair suggests that the patient has phenylketonuria (PKU).

Phenylketonuria is a metabolic disorder caused by a deficiency in the enzyme phenylalanine hydroxylase, which is necessary for the conversion of phenylalanine to tyrosine. Without this enzyme, phenylalanine accumulates in the body and leads to various clinical symptoms, including intellectual disability, developmental delays, eczema, hypopigmentation, and the characteristic musty odor.

The dietary management of PKU involves the following:
1. **Low-phenylalanine diet:** To prevent the accumulation of phenylalanine, foods high in phenylalanine such as meat, fish, eggs, dairy, nuts, and products containing aspartame should be restricted.

2. **Phenylalanine-free medical formula:** To ensure adequate nutrition, patients with PKU often need a special formula that provides essential nutrients without phenylalanine.

By adhering to a strict low-phenylalanine diet, patients with PKU can prevent the neurotoxic effects of phenylalanine accumulation and improve their overall wellbeing and development.

Therefore, the correct response is:
**Reduction in dietary phenylalanine.**",Avoid meat,Yes
13,A 70-year-old White man presented to a medical clinic for a routine follow-up. He has had hypertension for 20 years and is currently on multiple anti-hypertensive medications. His blood pressure is 150/100 mm Hg. The remainder of the examinations were within normal limits. Echocardiography showed some changes in the left ventricle. What is the most likely reason for the change?,"The most likely reason for the changes observed in the left ventricle on echocardiography in this 70-year-old man with a long history of hypertension is left ventricular hypertrophy (LVH). 

Hypertension over a prolonged period can lead to LVH, which is the thickening of the heart's left ventricular muscle. This occurs because the heart has to work harder to pump blood against the increased resistance due to high blood pressure. The thickened heart muscle can lead to changes in the structure and function of the heart, which are often detected on echocardiography. 

Here are some key points explaining this scenario:

1. **Chronic Hypertension**: The patient has had high blood pressure for 20 years, which is a significant risk factor for developing LVH.
2. **Current Blood Pressure**: Despite being on multiple antihypertensive medications, his blood pressure is still elevated at 150/100 mm Hg, indicating that his heart continues to experience high pressure, contributing to the thickening of the ventricular walls.
3. **Echocardiography Findings**: Echocardiography often reveals the thickened walls of the left ventricle in patients with LVH, which can be a result of the increased workload placed on the heart due to persistent hypertension.
4. **Age**: With advancing age, the heart muscle can also undergo changes, and long-standing hypertension accelerates these changes.

Management of LVH involves tight control of blood pressure, possible adjustments in medication, and addressing any other contributing factors such as lifestyle modifications. Regular follow-up with a healthcare provider is essential to monitor the condition and adjust treatment as necessary.",Increase in cardiac cell size,Yes
14,"An Asian 25-year-old construction worker presents to the office due to a yellowish discoloration of his skin and eyes for the past 2 weeks. He also complains of nausea and loss of appetite for the same duration. The past medical history is insignificant. He is a smoker, but recently has grown a distaste for smoking. The vital signs include: heart rate 83/min, respiratory rate 13/min, temperature 36.5°C (97.7°F), and blood pressure 111/74 mm Hg. On physical examination, there is mild hepatomegaly. The results of the hepatitis viral panel are as follows:
Anti-HAV IgM positive
HBsAg negative
IgM anti-HBc negative
Anti-HCV negative
HCV-RNA negative
Anti-HDV negative
Anti-HEV negative
What is the most common mode of transmission for this patient’s diagnosis?","The patient's presentation of yellowish discoloration of the skin and eyes (jaundice), nausea, and loss of appetite, along with mild hepatomegaly and a positive Anti-HAV IgM test, indicates an acute hepatitis A infection. Hepatitis A virus (HAV) is typically transmitted through the fecal-oral route. The most common modes of transmission include:

- **Consumption of contaminated food or water**: This is the primary way HAV spreads. For instance, eating raw or undercooked shellfish harvested from contaminated water or consuming fruits and vegetables that have been washed in contaminated water can lead to infection.
- **Close personal contact**: It can also spread through close personal contact with an infected person, such as through household or sexual contact.

Given this patient's background and probable social circumstances as a construction worker, it's possible he might have been exposed through contaminated food or water, which is common in crowded or under-resourced environments. Therefore, the most likely mode of transmission in this case is the **consumption of contaminated food or water**.",Fecal-oral,Yes
15,"A 5-year-old Black/African American boy is brought to the clinic by his mother for an annual check-up. The family recently moved from Nebraska and is hoping to establish care. The patient is homeschooled and the mother is concerned about her son’s development. He is only able to say 2 to 3-word sentences and has been “behind on his alphabet."" He always seems disinterested and ""just seems to be behind.” The patient is observed to be focused on playing with his cars during the interview. Physical examination demonstrates a well-nourished child with poor eye contact, a prominent jaw, a single palmar crease, and bilaterally enlarged testicles. What is the most likely mechanism of this patient’s findings?","The patient's presentation is suggestive of Fragile X Syndrome (FXS), which is the most common inherited cause of intellectual disability and autism spectrum disorder. The key clinical features described include developmental delays, poor eye contact, a prominent jaw, a single palmar crease, and bilaterally enlarged testicles (macroorchidism).

The mechanism underlying Fragile X Syndrome involves a mutation in the FMR1 gene located on the X chromosome. This gene normally contains a CGG trinucleotide repeat in its DNA sequence. 

1. In unaffected individuals, the CGG repeat sequence is typically repeated fewer than 55 times.
2. In Fragile X carriers (premutation), there are between 55 and 200 CGG repeats.
3. When the CGG repeat expansion exceeds 200, it leads to hypermethylation of the FMR1 gene promoter. This hypermethylation silences the gene, resulting in the absence or severe reduction in the production of the Fragile X Mental Retardation Protein (FMRP), which is crucial for normal neural development. The absence of FMRP is responsible for the intellectual disability and other symptoms seen in FXS.

Therefore, the most likely mechanism of this patient’s findings is the expansion of a trinucleotide repeat within the FMR1 gene leading to gene silencing through methylation.",CGG trinucleotide repeat expansion,Yes
16,"A 65-year-old Black/African American man is brought to the emergency department because of a 3-day history of increasing shortness of breath and chest pain. He has had a productive cough with foul-smelling sputum for 1 week. He has gastritis as well as advanced Parkinson's disease and currently lives in an assisted-living community. He smoked one pack of cigarettes daily for 40 years but quit 5 years ago. He has a 30-year history of alcohol abuse but has not consumed any alcohol in the past 5 years. His temperature is 39.3°C (102.7°F), he is tachycardic and tachypneic, and his oxygen saturation is 77% on room air. Auscultation of the lung shows rales and decreased breath sounds over the right upper lung field. Examination shows a resting tremor. Laboratory studies show:
Hematocrit 38%
Leukocyte count 17,000/mm3
Platelet count 210,000/mm3
Lactic acid 4.1 mmol/L (N=0.5–1.5)
A chest x-ray shows infiltrates in the right upper lobe. Which of the following is the most significant predisposing factor for this patient's respiratory symptoms?""","This patient's presentation, which includes a productive cough with foul-smelling sputum, high fever, significant shortness of breath, tachypnea, and findings of infiltrates on chest x-ray, is highly suggestive of a lung infection, possibly aspiration pneumonia. The foul-smelling sputum and right upper lobe infiltrate are particularly indicative of this condition.

Several risk factors could contribute to aspiration pneumonia:

1. **Advanced Parkinson's Disease:** Parkinson's disease can affect the muscles of the oropharynx and esophagus, leading to dysphagia (difficulty swallowing), which increases the risk of aspiration. This makes it a significant predisposing factor for aspiration pneumonia in this patient.

2. **History of Alcohol Abuse:** While the patient has been abstinent for the past five years, chronic alcohol use could have led to lasting impairment in his cough reflex and decreased consciousness levels in the past, contributing to recurrent aspiration events.

3. **Living in an Assisted-living Community:** This setting might increase the risk of infections due to higher exposure to pathogens, though it is not as direct a factor for aspiration pneumonia as it is for conditions like community-acquired pneumonia.

4. **Gastritis:** This condition might contribute to a higher risk of aspiration, especially if associated with gastroesophageal reflux disease (GERD), but it's less direct compared to the dysphagia seen in Parkinson's disease.

5. **Cigarette Smoking:** His long history of smoking may have contributed to chronic lung disease, but he stopped smoking five years ago, and this is not an acute predisposing factor for aspiration.

Considering all these factors, the most significant predisposing factor for this patient's respiratory symptoms is:
  
**Advanced Parkinson's Disease.**

This condition plays a critical role in his compromised ability to swallow safely, leading to a higher risk of aspiration and subsequent aspiration pneumonia.","Parkinson disease
""",No
17,A 37-year-old American Indian/Alaska Native man is brought to the emergency department after being attacked with a knife. Physical examination shows a 4-cm laceration in the midline of the right forearm. An MRI of the right arm shows damage to a nerve that runs between the superficial and deep flexor digitorum muscles. Loss of sensation over which of the following areas is most likely in this patient?,"Based on the location of the nerve damage described — the nerve running between the superficial and deep flexor digitorum muscles — the nerve affected is most likely the median nerve. 

The median nerve courses through the forearm between the flexor digitorum superficialis and the flexor digitorum profundus muscles. Damage to the median nerve in this region can result in sensory loss and motor deficits. Specifically, loss of sensation can occur in areas of the hand that are innervated by the median nerve.

The areas of sensory loss most likely to be observed in this patient, given median nerve injury, include:
- The palmar aspect of the thumb, index finger, middle finger, and lateral half of the ring finger.
- The distal dorsal aspects of the index finger, middle finger, and lateral half of the ring finger (the areas above the nail beds).

Therefore, the correct answer would be **the palmar aspect of the thumb, index finger, middle finger, and lateral half of the ring finger**.",Fingertip of the index finger,No
18,"A 46-year-old Black/African American man comes to the physician because of a 4-month history of progressively worsening fatigue and loss of appetite. Five years ago, he received a kidney transplant from a living family member. Current medications include sirolimus and mycophenolate. His blood pressure is 150/95 mm Hg. Laboratory studies show normocytic, normochromic anemia and a serum creatinine concentration of 3.1 mg/dL; his vital signs and laboratory studies were normal 6 months ago. Which of the following is the most likely underlying mechanism of this patient’s increase in creatinine concentration?","Given this patient's history and clinical presentation, the most likely underlying mechanism of the increased serum creatinine concentration is chronic allograft nephropathy. This condition is characterized by progressive kidney dysfunction following a kidney transplant, often developing months to years post-transplant. 

Here are a few key points to consider:

1. **History of Kidney Transplant:** The patient had a kidney transplant five years ago. Chronic allograft nephropathy (CAN) is a common long-term complication of kidney transplantation and typically presents with insidious and progressive impairment of allograft function.

2. **Current Medications:** The patient is on immunosuppressive therapy with sirolimus and mycophenolate. These drugs are essential for preventing rejection but can also have nephrotoxic effects and contribute to chronic allograft injury over time.

3. **Laboratory Findings:** The patient has an elevated serum creatinine (3.1 mg/dL) and normocytic, normochromic anemia. Long-standing kidney disease often leads to this type of anemia due to reduced erythropoietin production. An increase in serum creatinine reflects a decline in renal function.

4. **Timing and Progression:** Six months ago, his laboratory tests were normal, indicating that the deterioration of kidney function has occurred within this period, consistent with chronic allograft nephropathy rather than an acute process.

Chronic allograft nephropathy results from a combination of immune-mediated injury, such as chronic rejection, and non-immune factors like drug toxicity, hypertension, and recurrent or de novo glomerular diseases. The progression reflects a gradual decline in the function of the transplanted kidney, characterized by interstitial fibrosis and tubular atrophy (IF/TA). 

Thus, the patient's increased serum creatinine concentration is most likely due to chronic allograft nephropathy, a common and serious complication in kidney transplant recipients.",CD4+ T cell-mediated intimal smooth muscle proliferation,No
19,"A 34-year-old White female with a past medical history of a gastric sleeve operation for morbid obesity presents for pre-surgical clearance prior to a knee arthroplasty. Work-up reveals a hemoglobin of 8.7 g/dL, hematocrit of 26.1%, and MCV of 106 fL. With concern for folate deficiency, she is started on high dose folate supplementation, and her follow-up labs are as follows: hemoglobin of 10.1 g/dL, hematocrit of 28.5%, and MCV of 96 fL. She is at risk for which long-term complication?","The patient is at risk for long-term complications related to Vitamin B12 deficiency. While folate deficiency can also present with macrocytic anemia (as indicated by the elevated MCV in the initial lab results), treatment with folate alone can mask the hematologic symptoms of Vitamin B12 deficiency without addressing the underlying neurological complications that Vitamin B12 deficiency can cause.

Specifically, Vitamin B12 deficiency can lead to:

1. **Neurological Complications**: Subacute combined degeneration of the spinal cord, peripheral neuropathy, cognitive disturbances, and psychiatric symptoms.

2. **Gastrointestinal Issues**: Glossitis and other gastrointestinal symptoms.

In this patient's case, given her history of gastric sleeve surgery, which can impair the absorption of Vitamin B12 (due to reduced gastric surface area and potential intrinsic factor deficiency), and the improvement in hematologic parameters but continued abnormal levels, it is essential to evaluate her Vitamin B12 status to prevent these serious long-term complications.

Therefore, a timely assessment and potential supplementation of Vitamin B12 would be prudent to mitigate the risk of neurological damage that can occur with worsening or persistent Vitamin B12 deficiency.",Peripheral neuropathy,Yes
