question,answer,generalPublicQuestion,surveyQuestions
"A 19-year-old man with a past medical history significant only for moderate facial acne and mild asthma presents to his primary care physician with a new rash. He notes it has developed primarily over the backs of his elbows and is itchy. He also reports a 6-month history of foul-smelling diarrhea. He has no significant social or family history. The patient's blood pressure is 109/82 mm Hg, pulse is 66/min, respiratory rate is 16/min, and temperature is 36.7°C (98.0°F). Physical examination reveals crusting vesicular clusters on his elbows with a base of erythema and edema. What is the most likely underlying condition?",Celiac disease,"Hey there! I've been dealing with a new itchy rash on the backs of my elbows lately. It's been bothering me quite a bit. I've also noticed that I've been having smelly diarrhea for about 6 months now. When I went to see my doctor, they found some crusting vesicular clusters on my elbows with redness and swelling underneath. Any idea what might be causing all of this?","Hey there! I've been dealing with a new itchy rash on the backs of my elbows lately. It's been bothering me quite a bit. I've also noticed that I've been having smelly diarrhea for about 6 months now. When I went to see my doctor, they found some crusting vesicular clusters on my elbows with redness and swelling underneath. Any idea what might be causing all of this?A: Additional Information:
- Have you experienced any fever or chills recently? I have not experienced any fever or chills.
- Are there any other areas on your body where you have noticed similar rash or skin changes? I have noticed similar rash and skin changes on my elbows and knees.
- Have you traveled to any new locations or been exposed to any new substances before the symptoms started? I have not traveled to any new locations or been exposed to any new substances.
- Have you made any changes to your diet or skincare routine recently? I have not made any changes to my diet or skincare routine recently."
"A 21-year-old woman is brought by her mother to a psychiatrist due to concerns about her behavior. The patient’s mother tells the psychiatrist that she believes that a famous Hollywood celebrity actor loves her and will marry her. When the patient is asked about this, she says that she attended a function at which this actor was the guest of honor six months back, and he waved his hand at her by which she understood that he loves her. However, when she tries to contact him over the phone, he does not respond, which she says is probably because he is too busy with his career at present. When asked why the successful actor would marry her, she says, “Celebrities often prefer to marry ordinary people and that is why he expressed his interest in me that day”. The patient is otherwise healthy with no known medical condition. She denies any mood disturbances, hallucinations, or anxiety. She is currently working as an assistant manager at a private advertising firm and has a normal socio-occupational life. Which of the following is the most likely diagnosis in this patient?",Delusional disorder,"I am a 21-year-old woman and my mother is worried about me. She thinks a famous actor loves me and wants to marry me. I saw this actor at an event six months ago, and he waved at me. I feel like he loves me too, but when I try to reach out to him, he doesn't reply. I think he's just busy with his work. I work as an assistant manager at an advertising firm and have a regular life. I'm not sure why I'm feeling this way.","I am a 21-year-old woman and my mother is worried about me. She thinks a famous actor loves me and wants to marry me. I saw this actor at an event six months ago, and he waved at me. I feel like he loves me too, but when I try to reach out to him, he doesn't reply. I think he's just busy with his work. I work as an assistant manager at an advertising firm and have a regular life. I'm not sure why I'm feeling this way.A: Additional Information:
Have you experienced any changes in your mood or behavior recently? Yes, I have been feeling more paranoid and suspicious of others.
Are you finding it difficult to focus on your work or daily activities? Yes, I have trouble concentrating and completing tasks.
Do you have trouble sleeping or changes in your appetite? Yes, I have trouble sleeping and have experienced changes in my appetite.
Have you had any previous episodes of believing someone famous is in love with you? Yes, I have believed in the past that a famous person was in love with me.
Do you have a history of mental health conditions in your family? Yes, there is a history of mental health conditions in my family."
"A 72-year-old man presents to the emergency department because of difficulty breathing and sharp chest pain. The chest pain increases in intensity with lying down, and it radiates to the scapular ridge. Approximately 3 weeks ago, he had an anterior ST-elevation myocardial infarction, which was treated with intravenous alteplase. He was discharged home in a stable condition. Current vital signs include a temperature of 38.1 (100.5°F), blood pressure of 131/91 mm Hg, and pulse of 99/min. On examination, heart sounds are distant and a scratching sound is heard on the left sternal border. ECG reveals widespread concave ST elevations in the precordial leads and PR depressions in leads V2-V6. Which of the following is the most likely cause of this patient condition?",Dressler’s syndrome,"I'm a 72-year-old man and I'm having trouble breathing and sharp pain in my chest. The pain gets worse when I lie down and goes to my shoulder blade area. About 3 weeks ago, I had a heart attack and received treatment for it. Right now, my temperature is 38.1 (100.5°F). When the doctors checked my heart, they heard distant sounds and a scratching noise on the left side of my chest. The ECG test showed some changes in my heart's electrical activity. What could be causing these symptoms for me?","I'm a 72-year-old man and I'm having trouble breathing and sharp pain in my chest. The pain gets worse when I lie down and goes to my shoulder blade area. About 3 weeks ago, I had a heart attack and received treatment for it. Right now, my temperature is 38.1 (100.5°F). When the doctors checked my heart, they heard distant sounds and a scratching noise on the left side of my chest. The ECG test showed some changes in my heart's electrical activity. What could be causing these symptoms for me?Q: Additional Information:
Have you experienced any recent shortness of breath, dizziness, or fatigue?: I have been experiencing shortness of breath and fatigue recently.
Are you currently taking any medications for your heart condition or any other health issues?: Yes, I am taking medications for my heart condition.
Have you noticed any swelling in your legs or ankles?: Yes, I have noticed some swelling in my legs and ankles.
Have you had any recent coughing, wheezing, or chest congestion?: I have been coughing and experiencing chest congestion lately.
Have you had any recent episodes of nausea or vomiting?: I have had some episodes of nausea.
Have you had any recent weight gain or loss?: I have experienced some recent weight gain.
Have you had any recent changes in your appetite or fluid intake?: My appetite and fluid intake have been fluctuating recently."
"A 24-year-old woman comes to the emergency department because of a 4-hour history of headaches, nausea, and vomiting. During this time, she has also had recurrent dizziness and palpitations. The symptoms started while she was at a friend's birthday party, where she had one beer. One week ago, the patient was diagnosed with a genitourinary infection and started on antimicrobial therapy. She has no history of major medical illness. Her pulse is 106/min and blood pressure is 102/73 mm Hg. Physical examination shows facial flushing and profuse sweating. The patient is most likely experiencing adverse effects caused by treatment for an infection with which of the following pathogens?",Trichomonas vaginalis,"I'm a 24-year-old woman who went to the emergency room because I've had a headache, felt nauseous, and threw up for the past 4 hours. I also felt dizzy and my heart was beating fast. These symptoms started when I was at a friend's birthday party and had one beer. A week ago, I was diagnosed with a urinary infection and started taking medicine for it. I don't have any major medical problems. The doctor noticed that my face was red and I was sweating a lot. Which infection am I likely having a reaction to from the medicine I'm taking?","I'm a 24-year-old woman who went to the emergency room because I've had a headache, felt nauseous, and threw up for the past 4 hours. I also felt dizzy and my heart was beating fast. These symptoms started when I was at a friend's birthday party and had one beer. A week ago, I was diagnosed with a urinary infection and started taking medicine for it. I don't have any major medical problems. The doctor noticed that my face was red and I was sweating a lot. Which infection am I likely having a reaction to from the medicine I'm taking?A: Additional Information:
- Have you experienced any itching, rash, or hives since starting the medication for the urinary infection? Yes, I have been experiencing itching and a rash since starting the medication.
- Did the doctor check your blood pressure, temperature, or pulse during your visit to the emergency room? Yes, the doctor checked my blood pressure, temperature, and pulse.
- Are you currently taking any other medications or supplements besides the one for the urinary infection? No, I am only taking the medication for the urinary infection."
"A 72-year-old woman is brought to the emergency department by her daughter because of left-sided weakness for 1 hour. She does not have headache or blurring of vision. She has hypertension, hypercholesterolemia, type 2 diabetes, and coronary artery disease. She has smoked one half-pack of cigarettes daily for 45 years. Her medications include atorvastatin, amlodipine, metformin, and aspirin. Her temperature is 37°C (98.6°F), pulse is 92/min, and blood pressure is 168/90 mm Hg. Examination shows a left facial droop. Muscle strength is decreased on the left side. Deep tendon reflexes are 3+ on the left. Sensation to pinprick, light touch, and vibration as well as two-point discrimination are normal. Which of the following is the most likely cause of these findings?",Lipohyalinosis of lenticulostriate arteries,"I'm a 72-year-old woman who has been experiencing weakness on my left side for the past hour. I haven't had a headache or blurry vision. I have some health conditions like high blood pressure, high cholesterol, type 2 diabetes, and heart disease. I've been smoking half a pack of cigarettes daily for 45 years. I take medications for these conditions. My temperature is normal, and my pulse is 92 beats per minute. The doctor noticed that the left side of my face is drooping, and my left side is weaker. They also found that my left side's reflexes are stronger. My sensation to touch and other feelings on the left side are normal. I'm wondering what could be causing these symptoms.","I'm a 72-year-old woman who has been experiencing weakness on my left side for the past hour. I haven't had a headache or blurry vision. I have some health conditions like high blood pressure, high cholesterol, type 2 diabetes, and heart disease. I've been smoking half a pack of cigarettes daily for 45 years. I take medications for these conditions. My temperature is normal, and my pulse is 92 beats per minute. The doctor noticed that the left side of my face is drooping, and my left side is weaker. They also found that my left side's reflexes are stronger. My sensation to touch and other feelings on the left side are normal. I'm wondering what could be causing these symptoms.A: Additional Information:
- Have you experienced any recent trauma or injury to your head or neck?: No
- Do you have a history of stroke or mini-strokes (TIA)?: I have a history of mini-strokes (TIA)
- Have you noticed any changes in your speech or difficulty speaking?: Yes, I have noticed changes in my speech
- Have you had any recent changes in your medications or dosage?: No
- Have you experienced any changes in your vision or hearing?: No
- Have you had any recent changes in your balance or coordination?: Yes, I have had recent changes in my balance and coordination"
"A 45-year-old woman presents to the emergency department after sustaining a gunshot wound to her shoulder. During the course of the physical exam, the physician notes her spleen is palpable 10 cm below the left costal margin. Additionally, radiography of her shoulder showed several 'punched-out' areas of lytic bone. While this was considered an incidental finding at the time, she was referred to her primary care physician for further workup. Subsequent biopsy of the spleen demonstrated that this patient’s splenomegaly was caused by an infiltrative process. Which of the following processes would most likely result in splenomegaly in this patient?",Multiple myeloma,"I am a 45-year-old woman who recently went to the emergency room after getting shot in my shoulder. The doctor felt my spleen and found it to be larger than normal. They also saw some unusual areas on the x-ray of my shoulder. After further tests, they discovered that my spleen was enlarged due to something spreading through it. What could be causing my spleen to be enlarged in this situation?","I am a 45-year-old woman who recently went to the emergency room after getting shot in my shoulder. The doctor felt my spleen and found it to be larger than normal. They also saw some unusual areas on the x-ray of my shoulder. After further tests, they discovered that my spleen was enlarged due to something spreading through it. What could be causing my spleen to be enlarged in this situation?A: Additional Information:
- Have you experienced any unexplained weight loss recently? Yes, I have experienced unexplained weight loss.
- Do you have a history of infections or illnesses that could affect your spleen? I do not have a history of infections or illnesses that could affect my spleen.
- Have you noticed any changes in your appetite or energy levels? Yes, I have noticed changes in my appetite and energy levels.
- Are you experiencing any pain or discomfort in the abdominal area? Yes, I am experiencing pain and discomfort in the abdominal area.
- Have you had any recent blood tests to check for abnormalities in your blood cells or platelets? I have not had any recent blood tests to check for abnormalities in my blood cells or platelets."
"A 32-year-old woman presents to a psychiatrist to discuss a recent event in her life. At a social function 2 days back, she met a man who introduced himself as having worked with her at another private company 3 years ago. However, she did not recognize him. She also says that she does not remember working at any such company at any time during her life. However, the patient’s husband says that she had indeed worked at that company for three months and had quit due to her boss’s abusive behavior towards her. The man who met her at the function had actually been her colleague at that job. The woman asks the doctor, “How is it possible? I am really not able to recall any memories of having worked at any such company. What’s going on here?”. Her husband adds that after she quit the job, her mood frequently has been low. The patient denies any crying episodes, suicidal ideas, not enjoying recreational activities or feelings of worthlessness. Her appetite and sleep patterns are normal. She is otherwise a healthy woman with no significant medical history and lives a normal social and occupational life. The patient reports no history of smoking, alcohol, or substance use. On physical examination, she is alert and well-oriented to time, place and person. During memory testing, she correctly remembers the date of her marriage that took place 5 years back and the food she ate over the last 2 days. Which of the following is the most likely diagnosis in this patient?",Dissociative amnesia,"I am a 32-year-old woman who is having trouble remembering working at a company where a man claims we were colleagues. I don't recall ever working there, but my husband says I did for three months and left because of a bad boss. I'm confused and want to know why I can't remember this. My husband mentioned that my mood has been low since I left that job, but I don't feel sad or have any other concerning thoughts. I eat and sleep well, and my daily life is normal. I don't smoke, drink alcohol, or use drugs. When tested, I remember important events like my wedding date and recent meals. What could be causing this memory issue?","I am a 32-year-old woman who is having trouble remembering working at a company where a man claims we were colleagues. I don't recall ever working there, but my husband says I did for three months and left because of a bad boss. I'm confused and want to know why I can't remember this. My husband mentioned that my mood has been low since I left that job, but I don't feel sad or have any other concerning thoughts. I eat and sleep well, and my daily life is normal. I don't smoke, drink alcohol, or use drugs. When tested, I remember important events like my wedding date and recent meals. What could be causing this memory issue?A: Additional Information:
- Have you experienced any head injuries or trauma recently? I don't recall any head injuries or trauma.
- Do you have a history of mental health conditions such as anxiety or depression? I have a history of anxiety.
- Have you been under increased stress or pressure at work or in your personal life? I have been under increased stress at work.
- Are you currently taking any medications that could affect your memory? I am not currently taking any medications that could affect my memory.
- Have you noticed any other cognitive issues such as difficulty concentrating or confusion? I have noticed difficulty concentrating at times.
- Have you had any recent changes in your sleep patterns or quality of sleep? I have had recent changes in my sleep patterns."
"A 14-year-old boy presents with abdominal pain and diarrhea after returning from an East Asian vacation. Stool sample reveals the presence of red and white blood cells. Stool culture shows growth of immobile, non-lactose fermenting gram-negative rods. The attending physician explains to the medical students that the bacteria function by invading intestinal M-cells. The bacterium responsible for this patient's infection is:",Shigella dysenteriae,Hey there! I've been having some tummy pain and runny poops after my trip to East Asia. The doctor checked my poop and found some red and white blood cells in it. They also found some bacteria that don't move around a lot and don't break down lactose. The doctor said these bacteria like to invade special cells in my intestines called M-cells. Can you help me figure out which bacterium is causing trouble in my belly?,"Hey there! I've been having some tummy pain and runny poops after my trip to East Asia. The doctor checked my poop and found some red and white blood cells in it. They also found some bacteria that don't move around a lot and don't break down lactose. The doctor said these bacteria like to invade special cells in my intestines called M-cells. Can you help me figure out which bacterium is causing trouble in my belly?A: Additional Information:
- Have you experienced any fever, chills, or sweats? Yes, I have been experiencing fever and chills.
- Are you experiencing any nausea or vomiting? Yes, I have been experiencing nausea and vomiting.
- Have you noticed any changes in your appetite or weight? Yes, I have noticed a decrease in appetite and weight loss.
- Do you have any abdominal cramping or bloating? Yes, I have been experiencing abdominal cramping and bloating.
- Have you traveled to any other regions recently besides East Asia? No, I have not traveled to any other regions recently."
"A 61-year-old man comes to the physician because of fatigue, diarrhea, and crampy abdominal pain for 3 weeks. The abdominal pain is worse after eating. During the past week, he has had up to 4 watery stools daily. He has also had pain in his mouth and gums for 6 days. He has not had nausea, vomiting, or fever. Four months ago, he went on a 1-week trip to the Dominican Republic. He has atrial fibrillation, hypertension, and hypothyroidism. Current medications include levothyroxine, metoprolol, and warfarin. He has smoked one pack of cigarettes daily for 40 years. His temperature is 37.9°C (100.2°F), pulse is 81/min, and blood pressure is 120/75 mm Hg. Examination shows two 1-cm, tender ulcerative lesions in the mouth. Abdominal examination shows mild tenderness to palpation in the right lower quadrant without guarding or rebound. Bowel sounds are normal. His hemoglobin concentration is 11.5 g/dL, mean corpuscular volume is 77 fL, leukocyte count is 11,800 mm3, and platelet count is 360,000 mm3. Colonoscopy with biopsy of the colonic mucosa is performed. Analysis of the specimen shows non-caseating granulomas and neutrophilic inflammation of the crypts. Which of the following is the most likely diagnosis?",Crohn disease,"I have been feeling tired, having diarrhea, and experiencing crampy abdominal pain for the past 3 weeks. The pain gets worse after I eat. I've been having up to 4 watery stools every day for the past week. I've also had pain in my mouth and gums for the last 6 days. I haven't been nauseous, vomiting, or had a fever. I traveled to the Dominican Republic for a week four months ago. I have atrial fibrillation, high blood pressure, and an underactive thyroid. I take levothyroxine, metoprolol, and warfarin. I've been smoking a pack of cigarettes daily for 40 years. The doctor found two 1-cm tender sores in my mouth and mild tenderness in the right lower part of my belly during the exam. My blood tests show low hemoglobin, normal-sized red blood cells, high white blood cell count, and normal platelet count. The doctor did a colonoscopy and found non-caseating granulomas and inflammation in the crypts of my colon. What could be causing these symptoms?","I have been feeling tired, having diarrhea, and experiencing crampy abdominal pain for the past 3 weeks. The pain gets worse after I eat. I've been having up to 4 watery stools every day for the past week. I've also had pain in my mouth and gums for the last 6 days. I haven't been nauseous, vomiting, or had a fever. I traveled to the Dominican Republic for a week four months ago. I have atrial fibrillation, high blood pressure, and an underactive thyroid. I take levothyroxine, metoprolol, and warfarin. I've been smoking a pack of cigarettes daily for 40 years. The doctor found two 1-cm tender sores in my mouth and mild tenderness in the right lower part of my belly during the exam. My blood tests show low hemoglobin, normal-sized red blood cells, high white blood cell count, and normal platelet count. The doctor did a colonoscopy and found non-caseating granulomas and inflammation in the crypts of my colon. What could be causing these symptoms?A: Additional Information:
- Have you experienced any unintentional weight loss recently? Yes, I have experienced unintentional weight loss.
- Have you noticed any blood in your stool? Yes, I have noticed blood in my stool.
- Are you experiencing any joint pain or swelling? Yes, I am experiencing joint pain and swelling.
- Have you had any recent changes in your diet or eating habits? No, I have not had any recent changes in my diet or eating habits.
- Have you traveled anywhere else recently besides the Dominican Republic? No, I have not traveled anywhere else recently.
- Have you had any recent changes in your medications or dosage? No, I have not had any recent changes in my medications or dosage.
- Do you have a family history of gastrointestinal conditions or autoimmune diseases? Yes, there is a family history of gastrointestinal conditions and autoimmune diseases."
